PRCP,TMAX,TMIN,SIGLVL,RAND1,RAND2
0.0004,77.84,68.89,65,8.50,610.37
0,79.76,63.27,67,21.00,29.06
0,83.89,67.35,63,24.40,818.17
0.0002,84.31,69.95,61,11.60,1358.28
0,91.98,75.11,65,23.40,567.58
0,84.11,73.26,64,20.60,710.38
0,84,71.88,66,14.60,905.95
0,87.93,73.87,60,10.80,375.84
0,82.34,70.32,69,18.80,183.40
0,85.43,74.14,68,17.50,36.04
0.01,77.88,72.23,63,14.70,1140.20
0,79.54,66.12,62,7.90,1184.26
0,74.61,68.02,67,4.50,349.17
0,79.1,64.52,70,1.80,1309.77
0,82.28,65.08,64,11.60,584.05
0.0005,78.7,72.31,64,14.70,1410.59
0.0008,85.21,71.39,62,13.10,498.63
0,88.09,71.65,62,12.10,1333.24
0.0038,92.15,78.31,69,1.00,727.79
0.0028,94.09,75.98,69,24.00,751.42
0,80.8,70.74,68,7.30,1125.50
0,74.65,61.93,69,10.80,1131.45
0,78.67,63.63,60,20.60,1471.06
0.0078,86.08,69.1,69,15.90,822.49
0,72.42,61.88,63,18.00,105.85
0,71.51,61,63,22.10,556.65
0,74.86,60.03,68,15.70,1223.43
0,84.19,69.79,62,10.40,1390.53
0.0249,75.46,70.87,69,11.10,4.14
0,82.55,69.61,66,5.50,1255.85
0,81.18,69.49,68,17.90,1241.55
0,80.75,65.89,63,1.10,697.00
0,82.64,64.32,60,1.60,194.55
0.0109,72.35,58.86,69,9.40,757.54
0,68.71,54.82,69,24.90,35.38
0,70.41,55.5,70,16.30,834.30
0.0075,74.02,65.19,68,8.80,787.81
0,68.17,58.89,62,13.60,1075.53
0.0002,64.2,58.64,70,4.00,164.87
0.0097,60.6,57.84,69,7.60,104.64
0,62.32,57.25,62,16.30,323.35
0.0001,63.2,57.37,60,5.50,384.29
0.0013,70.55,61.05,65,22.50,844.24
0.0004,68.75,61.26,61,15.90,1443.10
0,66.55,54.37,67,17.10,225.92
0,71.25,55.43,60,3.50,1342.22
0,71.6,56.18,64,22.50,326.22
0.0057,67.97,58.07,63,23.70,647.90
0.0157,66.14,52.65,63,5.90,1229.85
0,63.56,41.75,61,5.80,1225.41
0,61.2,43.37,65,8.50,1425.78
0,65.01,52.29,69,4.00,1137.90
0.0002,66.17,55.03,61,10.90,1112.19
0,62.19,43.91,66,23.50,1349.18
0,63.06,44.41,66,16.10,235.10
0,69.55,51.7,62,13.50,1241.71
0,78.54,62.99,67,21.30,858.99
0,79.4,64.31,61,18.70,174.36
0,82.96,68.16,70,8.70,1344.09
0,69.14,62.01,64,14.90,1002.08
0.0294,70.13,64.55,60,7.70,89.46
0.0149,61.06,41.75,61,14.50,1381.44
0,62.13,41,70,7.30,821.24
0.0002,61.92,50.01,70,2.30,343.07
0,51.75,39.66,62,15.10,1383.05
0,50.42,32.29,67,2.50,1125.19
0.0261,55.16,34.6,64,16.40,929.56
0.0002,54.12,38.4,64,4.20,1152.01
0,63.28,35.85,61,9.70,88.42
0.0122,74.62,56.92,63,6.10,1339.57
0,56.36,39.33,65,12.40,1253.06
0,58.02,37.68,60,20.30,1218.05
0,69.87,53.35,66,3.20,727.64
0,71.97,58.31,69,2.90,741.04
0,59.92,45.67,60,16.40,709.51
0,61.97,40.22,69,15.20,131.88
0,57.42,40.11,66,2.10,185.06
0,54.39,34.72,68,6.00,566.18
0,66.92,39.59,69,11.00,1419.61
0.0028,56.62,50.14,68,1.30,1048.96
0,56.27,35.97,65,24.50,1124.97
0,62.31,35.76,69,17.90,767.16
0,50.66,29.62,69,9.60,1269.40
0,61.18,34.64,68,2.10,163.77
0,61.59,40.31,60,10.30,919.07
0.0414,54.54,42.54,62,15.10,769.27
0,61.39,40.91,70,3.50,1279.25
0,61.34,45.86,67,24.90,953.49
0,63.96,41.23,70,13.70,126.30
0.0027,58.93,39.22,65,5.10,370.74
0.0112,32.56,27.53,66,4.20,741.29
0,30.98,25.77,62,3.10,434.31
0,31.97,28.1,64,4.80,1294.14
0,40.57,27.42,66,24.80,1139.93
0.0008,45.43,34.63,68,18.00,735.74
0.0005,53.08,42.44,66,12.90,845.73
0,44.21,36.59,60,16.90,73.00
0,44.77,33.75,61,12.60,924.73
0,51.26,31.94,68,22.70,1452.40
0.0395,59.35,47.04,68,24.20,1433.41
0.02,57.52,52.05,62,18.20,974.94
0.0047,53.7,37.15,69,21.60,196.59
0,50.54,33.66,61,2.60,239.75
0,39.97,33.6,60,2.10,318.80
0,42.62,31.96,60,15.80,659.08
0.0051,44.03,33.69,65,24.90,901.96
0.012,40.97,33.19,65,14.40,1182.38
0.002,42.49,34.14,64,21.80,112.09
0,35.84,25.67,61,23.80,981.56
0,29.01,21.38,66,3.30,1235.07
0,26.7,19.92,65,2.10,562.48
0.0007,29.61,20.93,66,7.30,612.44
0.013,39.88,29.93,63,14.20,879.87
0,38.22,29.92,64,20.30,790.22
0,34.07,26.25,70,16.80,1464.98
0,26.02,4.56,64,23.20,721.42
0,18.05,3.73,60,22.80,1080.68
0.0179,37.46,16.99,63,17.60,1314.06
0.0019,56.88,22.66,67,17.90,1273.06
0,21.74,12.64,66,18.00,1079.02
0,28.99,11.65,67,7.20,430.61
0,36.45,21.22,66,25.00,1326.55
0,43.15,30.6,62,3.60,1429.03
0,41.51,31.2,60,11.60,653.15
0.0095,41.09,33.53,63,3.60,1094.65
0,46.87,30.92,63,1.50,135.33
0.0002,42.97,25.25,70,21.00,1455.38
0,59.39,35.07,60,12.70,993.82
0,33.31,29.36,61,21.90,80.48
0.0107,41.55,28.37,65,6.80,1011.78
0,38.11,26.43,70,17.10,279.58
