PRCP,TMAX,TMIN,SIGLVL
0.0293,55.11,44.06,69
0.0208,55.55,50.5,69
0,56.5,48.74,69
0,58.29,47.95,66
0,61.71,45.13,69
0,61.92,51.03,64
0,64.45,54.6,64
0,68.89,50.16,67
0.0009,59.84,51.21,68
0.0234,58.26,48.02,66
0.0018,57.82,44.65,64
0,60.97,47.6,64
0,60.31,50.15,65
0,64.76,49.13,63
0,68.22,50.03,60
0,58.91,50.43,64
0.0041,58.93,53,65
0.0065,54.94,44.39,68
0.0002,57.13,43.73,60
0,60.9,45.79,65
0,62.22,49.17,62
0,65.71,50.42,63
0,63.26,52.29,68
0,63.68,49.87,60
0,61.7,50.92,61
0,64.66,48.51,63
0,60.15,48.43,63
0,58.45,50.68,69
0.0007,57.79,51.98,60
0.0063,56.47,44.8,69
0,60.58,44.21,69
0,60.9,50.5,68
0,59.97,50.07,64
0,56.92,50.03,66
0,56.55,47.35,64
0.0002,56.74,46.25,62
0.0055,57.47,51.59,61
0.001,60.55,53.66,66
0,59.81,51.2,69
0,61.88,50.28,64
0,57.45,50.6,67
0,56.03,44.43,70
0,60.18,45.15,61
0.0006,59.31,51.23,61
0.0062,57.5,53.52,63
0.0019,60.14,52.09,64
0.0118,58.8,52.82,68
0,63.6,50.13,70
0,66.31,52.85,68
0,65.91,53.37,69
0,62.23,54.3,63
0,61.56,53.74,65
0.0001,63.42,53.65,70
0,67.45,58.28,65
0,67.83,60.76,63
0,68.42,58.7,66
0,67.25,58.52,67
0,61.89,55.47,62
0,61.19,53.75,69
0,62.32,55.53,61
0,64.69,54.77,69
0,71.11,54.85,64
0,79.94,60.86,64
0,69.52,56.56,65
0,61.54,52.63,62
0,61.12,51.68,67
0,66.48,50.55,66
0,64.41,51.09,61
0,59.36,51.14,66
0,61.58,52.23,65
0,65.54,51.2,68
0,64.58,52.9,70
0,61.5,52.91,67
0,60.28,51.8,65
0,59.74,52.43,60
0.0011,60.68,53.52,60
0,63.78,52.72,63
0,70.23,53.49,70
0,67.22,57,68
0,66.11,54.85,60
0,62.2,53.55,69
0,64.4,52.33,61
0,66.1,53.03,65
0,68.99,54.32,66
0,65.96,54.69,60
0,62.39,54.23,60
0,61.97,55.2,65
0,62.34,55.18,60
0,61.65,54.53,65
0,62.44,53.94,70
0,63.81,54.33,65
0,64.19,55.9,70
0,64.2,56.29,60
0,67.07,58.42,63
0,68.55,56.76,67
0,70.09,58.17,63
0,65.71,56.39,60
0,65.15,55.61,63
0,65.71,55.68,63
0,61.51,54.33,64
0,60.03,53.36,64
0,59.8,53.27,65
0,63.2,53.19,70
0,63.81,55.08,69
0,62.89,54.62,68
0,61.12,53.41,64
0,61.38,55.14,70
0,62.91,55.84,67
0,63.97,55.47,70
0,62.75,53.21,60
0,62.05,53.1,64
0,62.48,54.04,68
0,64.33,54.35,70
0,63.52,53.56,60
0,64.41,53.51,65
0,61.07,53.53,66
0,61.47,52.35,65
0,65.64,52.77,65
0.0001,65.61,54.34,63
0,63.96,55.93,60
0,62.1,54.48,61
0,62.25,53.68,69
0,61.65,53.92,65
0,63.85,53.37,70
0,63.02,53.17,65
0,63.49,53.94,63
0,63.98,55.37,65
0,64.09,54.01,69
0,65.35,54.33,61
0,65.88,55.97,64
0,65.23,54.75,61
0,62.76,53.84,66
0,64.58,54.53,60
0,72.1,53.77,66
0,79.49,57.4,64
0,89.44,62.81,70
0,74.46,60.88,66
0,62.46,56.83,70
0,62.07,55.33,66
0,62.67,54.7,61
0,62.34,54.03,70
0,66.61,53.5,70
0,71.09,55.79,62
0,79.26,57.23,61
0,76.25,59.77,61
0,67.94,55.67,67
0,63.99,54.43,63
0,69.15,54.36,70
0,75.43,55.51,65
0,62.08,55.54,69
0,62.49,56.92,62
0,65.89,54.32,67
0,69.27,54.36,67
0,73.37,54.71,68
0,62.38,53.29,66
0,60.82,54.68,68
0,61.63,54.43,69
0,65.06,53.69,62
0,67.1,56.72,68
0.0001,66.34,59.51,60
0.0005,67.23,59.73,69
0,65.09,58.76,60
0,68.72,57.27,67
0,63.81,57.02,70
0,64.42,56.76,66
0,69.92,55.08,64
0,81.27,56.36,64
0,82.99,58.81,70
0,76.13,55.4,66
0,82.7,58.3,62
0,80.02,62.61,61
0,72.17,59.03,68
0,66.12,55.49,63
0,64.84,57.13,62
0,61.62,55.75,64
0,61.64,56.01,70
0,63.09,56.07,64
0,64.94,54.19,65
0,66.66,55.96,63
0,64.49,55.06,69
0,65.94,53.34,68
0,68.58,53.92,62
0,70.82,56.69,67
0.0001,73.72,57.27,70
0,80.4,62.4,65
0,77.8,59.2,60
0,76.35,60.24,65
0,65.03,56.72,70
0,59.08,54.1,62
0.0017,57.85,53.98,70
0.0001,59.49,53.14,68
0.0001,61.27,51.44,66
0,60.15,51.88,61
0.0001,63.16,57.54,69
0.0045,59.35,53.82,68
0.0107,62.59,53.09,67
0.0172,63.74,58.6,70
0,61.44,54.28,64
0,62.8,51.8,62
0,62.76,48.92,70
0,67.54,54.14,66
0.0126,60.93,56.09,60
0.0043,61.04,52.78,60
0,64.64,52.63,70
0.0001,68.4,53.78,66
0,70.22,54.63,65
0.0001,71.7,57.88,69
0,73.8,60.49,64
0,62.58,55.56,60
0,61.76,54.46,61
0.0296,59.11,54.53,65
0,58.98,50.93,63
0.0019,57.95,46.64,63
0.0029,61.07,52.46,67
0,63.7,51.07,64
0,61.74,46.75,67
0,67.23,49.46,66
0,73.28,56.25,66
0,73.82,59.79,62
0,64.76,55.18,63
0,60.83,48.5,70
0.0007,56.96,45.7,61
0.0152,54.17,42.73,64
0.0321,53.86,43.33,64
0.0066,53.38,43.3,62
0.0031,55.48,47.53,65
0.0083,53.34,39.38,69
0,50.65,34.32,61
0,51.84,38.32,68
0.0001,51.86,36.12,61
0.0111,52.32,42.91,65
0,52.02,41.05,64
0,52.4,39.94,69
0,52.14,38.7,65
0.0003,53.22,37.95,62
0.0003,52.62,44.05,62
0,54.37,48.25,62
0.0046,55.98,50.66,67
0.0103,56.42,52.15,69
0.002,59.65,51.13,65
0.0048,57.41,47.5,60
0.0285,55.19,51.08,68
0.0005,57.58,53.76,65
0.0007,58.02,55.98,65
0,57.15,53.58,66
0.0001,56.61,53.95,62
0.002,55.5,53.73,63
0.0074,57.3,52.12,64
0.0002,53.22,45.12,62
0.002,52.47,39.38,61
0.0225,54.96,41.56,68
0.0109,57.72,54.4,67
0.0414,56.73,50.64,62
0.0023,53.55,46.71,64
0.0031,56.34,45.38,64
0.0142,54.01,47.55,70
0,52.41,44.12,64
0.0057,56.21,44.83,66
0.0172,54.29,47.04,67
0.0012,56.35,46.56,63
0.0008,53.8,44.13,61
0.0338,55.38,48.54,65
0.006,55.64,39.47,67
0,51.43,37.45,62
0,47.72,38.17,70
